"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 27 11:42:14 GMT 2025","Sun Jul 27 11:42:21 GMT 2025","6668","firefox","existingUser.spec.ts","deleting addresses from the Address Book","","","delete a default address",""
"passed","Sun Jul 27 11:40:41 GMT 2025","Sun Jul 27 11:40:50 GMT 2025","9214","chromium","guestUser.spec.ts","","","","submit the contact us form",""
"passed","Sun Jul 27 11:41:29 GMT 2025","Sun Jul 27 11:41:50 GMT 2025","21479","firefox","existingUser.spec.ts","","","","buy the 1st featured product as an existing user with a standard shipping from the home page",""
"passed","Sun Jul 27 11:40:41 GMT 2025","Sun Jul 27 11:40:50 GMT 2025","9014","setup","auth.setup.ts","","","","authenticate",""
"passed","Sun Jul 27 11:40:57 GMT 2025","Sun Jul 27 11:41:27 GMT 2025","30176","webkit","newUser.spec.ts","","","","buy 2 t-shirts as a new user with a standard shipping",""
"passed","Sun Jul 27 11:41:29 GMT 2025","Sun Jul 27 11:41:43 GMT 2025","14367","firefox","existingUser.spec.ts","adding addresses to the Address Book","","","add a new default address",""
"passed","Sun Jul 27 11:41:29 GMT 2025","Sun Jul 27 11:41:45 GMT 2025","16397","firefox","existingUser.spec.ts","adding addresses to the Address Book","","","add a new non-default address",""
"skipped","Sun Jul 27 11:41:28 GMT 2025","Sun Jul 27 11:41:28 GMT 2025","0","firefox","existingUser.spec.ts","editing addresses from the Address Book","","","edit a default address",""
"passed","Sun Jul 27 11:40:41 GMT 2025","Sun Jul 27 11:40:50 GMT 2025","9000","chromium","guestUser.spec.ts","","","","verify the footer links' content",""
"skipped","Sun Jul 27 11:41:28 GMT 2025","Sun Jul 27 11:41:28 GMT 2025","0","firefox","existingUser.spec.ts","editing addresses from the Address Book","","","edit a non-default address",""
"passed","Sun Jul 27 11:40:53 GMT 2025","Sun Jul 27 11:41:23 GMT 2025","29448","webkit","newUser.spec.ts","","","","register a new user",""
"passed","Sun Jul 27 11:40:53 GMT 2025","Sun Jul 27 11:41:24 GMT 2025","31005","webkit","newUser.spec.ts","","","","user can change the password",""
"passed","Sun Jul 27 11:42:01 GMT 2025","Sun Jul 27 11:42:11 GMT 2025","9835","firefox","existingUser.spec.ts","deleting addresses from the Address Book","","","delete a non-default address",""
"passed","Sun Jul 27 11:40:53 GMT 2025","Sun Jul 27 11:41:23 GMT 2025","29299","webkit","newUser.spec.ts","","","","user can edit account details",""
"passed","Sun Jul 27 11:40:41 GMT 2025","Sun Jul 27 11:40:54 GMT 2025","13248","chromium","guestUser.spec.ts","","","","buy the 1st featured product as a guest user with a standard shipping from the home page",""
